NO,Predict,aat0dem,aat10dem,asp,bio1,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,clay,dem,eco,im,lst,lucc,mor,ndvi,pa,sand,silt,slope,soil,tadem,veg,water
5201,0,57246,51006,180,162,273,44,1200,200,38,48,495,143,492,152,81,24,8888,327,-4,331,248,67,,9,4,5063,14285,42,12,,13063,,,0,23124100,157,0,0
10730,0,59526,52254,63.435,171,280,56,1386,241,42,50,596,152,509,162,79,24,8717,336,11,325,213,79,,15,4,6705,14271,42,11,,14828,,,6.37937,23124100,163,0,0
9548,0,59526,52254,180,171,280,57,1391,241,43,50,598,153,509,163,79,24,8691,335,11,324,213,79,,15,4,6627,14267,42,19,,14749,,,0,23124100,163,0,0
8805,0,59526,52254,135,171,280,57,1387,241,43,50,598,153,508,163,79,24,8691,335,11,324,213,79,,15,4,6659,14265,42,11,,14774,,,2.24963,23124100,163,0,0
12911,0,60560,52925,351.027,173,282,57,1422,242,44,49,604,161,513,174,78,24,8745,337,13,324,215,80,,3,4,5903,14265,42,11,,14188,,,12.0641,23124100,166,0,0
5020,0,61381,56451,201.801,173,282,58,1428,241,44,48,603,165,510,178,78,24,8740,338,14,324,215,81,,15,4,7057,1426,42,11,,14725,,,13.46,23124100,168,0,0
8756,0,61381,56451,279.019,173,282,58,1428,241,44,48,603,165,510,178,78,24,8740,338,14,324,215,81,,104,4,7046,1426,42,11,,14716,,,60.5612,23124100,168,0,0
5305,0,59404,52285,45,168,278,53,1306,238,31,54,566,129,506,132,76,23,8726,328,7,321,208,74,,6,4,6469,14254,42,11,,14758,,,1.80004,23124100,163,0,0
9083,0,60195,52681,56.3099,173,282,57,1412,242,43,49,603,159,511,171,79,24,8728,337,13,324,214,81,,-6,4,6163,14248,42,11,,14385,,,3.43891,23124100,165,0,0
11681,0,58886,51919,48.0128,167,276,56,1316,251,27,55,554,121,531,121,78,24,8580,327,11,316,206,56,,25,4,6414,14244,42,12,,14612,,,12.6382,23124100,161,0,0
13701,0,59374,52193,180,172,280,57,1385,240,43,50,598,152,506,163,79,24,8686,335,11,324,213,79,,15,4,6615,14244,42,11,,14724,,,0,23124100,163,0,0
5928,0,58764,51797,185.44,170,279,55,1338,234,38,52,588,144,487,153,79,24,8698,333,9,324,212,77,,19,4,7043,14239,42,11,,15036,,,6.68426,23124100,161,0,0
11377,0,60348,52803,26.5651,173,282,58,1423,243,44,49,608,160,515,172,79,24,8732,337,13,324,214,81,,-2,4,5926,14237,42,11,,14182,,,0.711726,23124100,166,0,0
11014,0,58702,51766,281.31,170,279,55,1338,234,38,52,588,144,488,152,79,24,8687,333,9,324,212,78,,12,4,7193,14231,42,15,,15166,,,9.64622,23124100,161,0,0
8047,0,59373,52254,264.289,168,277,54,1305,239,30,54,565,128,508,131,76,23,8697,327,8,319,208,74,,7,4,6470,14228,42,11,,14756,,,6.37155,23124100,163,0,0
8913,0,59463,52284,312.51,168,278,54,1307,238,31,54,567,130,506,133,76,23,8708,328,7,321,209,74,,26,4,6391,14224,42,11,,14698,,,5.16765,23124100,163,0,0
9179,0,59463,52284,214.592,168,278,54,1307,238,31,54,567,130,506,133,76,23,8708,328,7,321,209,74,,29,4,6394,14224,42,11,,14700,,,11.0734,23124100,163,0,0
6724,0,57323,50330,180,163,271,48,1451,255,42,52,623,151,541,174,78,24,8704,324,0,324,204,68,,120,4,11525,14189,43,11,,16826,,,0,23124100,157,0,0
11060,0,60560,52925,22.6199,173,282,57,1423,242,44,49,605,161,513,174,78,24,8725,337,13,324,214,81,,-9,4,5907,14264,42,11,-1959,14190,,,4.13086,23124100,166,0,0
8493,0,59526,52254,349.216,171,280,57,1388,241,43,50,598,153,508,163,79,24,8705,335,11,324,213,79,,6,4,6604,14239,42,11,-1958,14721,,,6.77296,23124100,163,0,0
3085,1,57369,51067,101.31,165,278,45,1180,194,35,48,491,133,476,136,79,23,9070,331,-4,335,254,66,15,15,4,5359,,46,11,-1957,13394,52,33,1.62263,23116142,157,,38.8351
3088,1,57369,51067,360,165,278,45,1180,194,35,48,491,133,476,136,79,23,9070,331,-4,335,254,66,15,12,4,5359,,46,11,-1957,13394,52,33,4.76364,23116142,157,,179.613
13202,0,59526,52254,180,171,280,57,1384,241,42,50,594,152,511,161,80,24,8695,335,11,324,213,79,,8,4,6720,14327,42,11,-1947,14851,,,5.71059,23124100,163,0,0
2771,1,58375,51645,275.711,165,276,49,1225,209,35,49,505,130,483,131,78,23,8838,328,1,327,251,69,,7,1,6063,14373,123,14,-1936,14216,,,3.19566,23116140,160,580,156.471
2772,1,58345,51615,251.565,165,276,49,1225,209,35,49,505,130,483,131,78,23,8838,328,1,327,251,69,,6,1,6060,14373,123,14,-1936,14213,,,1.00648,23116140,160,580,182.392
2773,1,58345,51615,315,165,276,49,1225,209,35,49,505,130,483,131,78,23,8838,328,1,327,251,69,,10,1,6063,14373,123,14,-1936,14216,,,0.900242,23116140,160,,63.8742
2774,1,58375,51645,155.225,165,276,49,1225,209,35,49,505,130,483,131,78,23,8838,328,1,327,251,69,,7,1,6063,14373,123,14,-1936,14216,,,4.54793,23116140,160,580,26.1132
8516,0,59526,52254,180,171,280,57,1386,241,43,50,596,153,509,163,79,24,8702,335,11,324,213,79,,15,4,6652,14266,42,14,-1898,14775,,,0,23124100,163,0,0
9102,0,59402,52223,325.008,169,279,53,1276,224,33,54,576,134,461,143,76,23,8754,330,6,324,211,75,,9,4,6506,14249,42,12,-1870,14772,,,3.87953,23124100,163,0,0
9044,0,57216,50976,180,162,274,44,1204,201,38,48,497,144,492,152,81,24,8916,327,-3,330,248,67,,9,4,5145,1432,42,11,-1855,13147,,,0,23124100,157,0,0
2938,1,57522,51158,243.435,164,277,47,1216,205,36,48,504,134,482,137,78,23,8953,330,-1,331,252,68,,7,1,5843,1443,123,11,-1847,13856,,,2.84471,23125100,158,5772,0
2940,1,57522,51158,160.017,164,277,47,1216,205,36,48,504,134,482,137,78,23,8953,330,-1,331,252,68,,7,1,5843,1443,123,11,-1847,13856,,,3.72048,23125100,158,5772,0
2942,1,57522,51158,236.31,164,277,47,1216,205,36,48,504,134,482,137,78,23,8946,329,-1,330,252,68,,7,4,5838,1443,41,11,-1847,13844,,,2.29414,23125100,158,5772,0
2943,1,57522,51158,116.565,164,277,47,1216,205,36,48,504,134,482,137,78,23,8953,330,-1,331,252,68,,4,1,5843,1443,123,11,-1847,13856,,,1.42323,23125100,158,5772,0
13965,0,59526,52254,180,172,280,57,1386,241,43,50,596,153,509,163,79,24,8715,335,11,324,214,79,,15,4,6676,14273,42,11,-1839,14799,,,0,23124100,163,0,0
10276,0,61413,56483,194.036,173,283,57,1406,237,43,48,595,164,499,177,78,24,8756,339,14,325,214,81,,5,4,6803,14279,42,11,-1831,14582,,,1.3122,23124100,168,0,0
